Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/18/2013,SOUTH,29,14441,3726,54,661,285,19,50,188,13,2,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/18/2013,NORTH,14,11299,2705,28,499,213,17,22,202,5,0,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/17/2013,SOUTH,28,14696,3719,47,609,268,16,44,205,11,6,3,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/17/2013,NORTH,23,11942,2820,36,507,222,21,36,204,13,2,2,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/14/2013,NORTH,17,13064,2977,40,515,203,16,35,185,5,3,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/14/2013,SOUTH,38,15842,3725,53,651,248,6,44,215,11,3,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/13/2013,NORTH,16,12053,2753,38,521,184,13,37,191,5,2,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/13/2013,SOUTH,30,15376,3730,48,640,243,11,43,210,6,8,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/12/2013,NORTH,25,12561,2913,34,564,237,18,43,200,15,1,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/12/2013,SOUTH,51,15028,3843,51,719,284,10,39,236,15,6,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/11/2013,SOUTH,41,14972,3853,48,700,268,20,54,206,8,3,1,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/11/2013,NORTH,15,11872,2811,34,535,193,22,26,189,9,1,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/10/2013,NORTH,9,8731,2028,21,335,118,6,27,127,3,2,1,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/10/2013,SOUTH,25,14017,3522,51,606,236,27,53,209,10,2,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
